impl,M,K,N,iters,wall_s,gflop,gflops,cpu_w,pcluster_w,ecluster_w,cpu_j,j_per_gflop,samples
sme-4x1,1024,1024,1024,1694,3.0001,3637.8373,1212.57,8.7719,0,0,26.3167,0.007234,28
sme-1x4sym,1024,1024,1024,1643,3.0000,3528.3156,1176.09,8.7643,0,0,26.2929,0.007452,28
sme-1x4acc,1024,1024,1024,2393,3.0006,5138.9284,1712.61,10.5374,0,0,31.6187,0.006153,28
sme-1x4acckc,1024,1024,1024,2428,3.0001,5214.0903,1737.98,10.6051,0,0,31.8165,0.006102,28
kleidiai-fullpack,1024,1024,1024,2299,3.0012,4937.0649,1645.02,10.1153,0,0,30.3580,0.006149,28
kleidiai-panel,1024,1024,1024,2361,3.0010,5070.2089,1689.53,10.6669,0,0,32.0113,0.006314,28
accelerate,1024,1024,1024,2333,3.0005,5010.0794,1669.76,10.7809,0,0,32.3479,0.006457,28
sme-4x1,2048,2048,2048,223,3.0060,3831.1108,1274.48,8.6168,0,0,25.9021,0.006761,28
sme-1x4sym,2048,2048,2048,219,3.0004,3762.3914,1253.96,8.5100,0,0,25.5335,0.006787,28
sme-1x4acc,2048,2048,2048,265,3.0005,4552.6653,1517.31,9.7151,0,0,29.1501,0.006403,28
sme-1x4acckc,2048,2048,2048,276,3.0091,4741.6439,1575.79,10.1064,0,0,30.4111,0.006414,28
kleidiai-fullpack,2048,2048,2048,272,3.0103,4672.9244,1552.31,10.0392,0,0,30.2210,0.006467,28
kleidiai-panel,2048,2048,2048,278,3.0006,4776.0036,1591.69,9.8014,0,0,29.4100,0.006158,31
accelerate,2048,2048,2048,291,3.0029,4999.3419,1664.83,10.3460,0,0,31.0681,0.006214,28
sme-4x1,4096,4096,4096,27,3.0612,3710.8517,1212.21,8.6913,0,0,26.6059,0.007170,32
sme-1x4sym,4096,4096,4096,29,3.0744,3985.7297,1296.41,10.2978,0,0,31.6597,0.007943,32
sme-1x4acc,4096,4096,4096,26,3.0800,3573.4128,1160.20,9.6652,0,0,29.7687,0.008331,32
sme-1x4acckc,4096,4096,4096,25,3.0823,3435.9738,1114.75,8.3207,0,0,25.6469,0.007464,32
kleidiai-fullpack,4096,4096,4096,34,3.0316,4672.9244,1541.39,9.2714,0,0,28.1073,0.006015,31
kleidiai-panel,4096,4096,4096,33,3.0973,4535.4855,1464.32,8.7940,0,0,27.2377,0.006005,61
accelerate,4096,4096,4096,34,3.0009,4672.9244,1557.19,9.5665,0,0,28.7082,0.006144,31
sme-4x1,128,32768,512,581,3.0047,2495.3760,830.49,9.9961,0,0,30.0353,0.012036,28
sme-1x4sym,128,32768,512,588,3.0032,2525.4408,840.92,11.1400,0,0,33.4556,0.013247,28
sme-1x4acc,128,32768,512,480,3.0061,2061.5843,685.80,9.6665,0,0,29.0584,0.014095,28
sme-1x4acckc,128,32768,512,495,3.0044,2126.0088,707.63,7.1588,0,0,21.5078,0.010117,28
kleidiai-fullpack,128,32768,512,356,3.0070,1529.0084,508.49,6.2221,0,0,18.7099,0.012237,28
kleidiai-panel,128,32768,512,739,3.0010,3173.9808,1057.65,8.1975,0,0,24.6007,0.007751,30
accelerate,128,32768,512,780,3.0012,3350.0745,1116.23,8.8922,0,0,26.6873,0.007966,28
