impl,M,K,N,iters,wall_s,gflop,gflops,cpu_w,pcluster_w,ecluster_w,cpu_j,j_per_gflop,samples,spread_pct,n_runs
sme-4x1,1024,1024,1024,1734,3.000800,3723.736600,1240.900000,8.769700,0.000000,0.000000,26.311900,0.006993,28,1.08,3
sme-1x4sym,1024,1024,1024,1752,3.000600,3762.391400,1253.890000,8.739100,0.000000,0.000000,26.218100,0.006996,28,1.17,3
sme-1x4acc,1024,1024,1024,2404,3.000600,5162.550700,1720.490000,10.426600,0.000000,0.000000,31.285900,0.006060,28,3.43,3
sme-1x4acckc,1024,1024,1024,2408,3.000400,5171.140600,1723.120000,10.544600,0.000000,0.000000,31.637900,0.006001,28,3.53,3
kleidiai-fullpack,1024,1024,1024,2250,3.001000,4831.838200,1610.470000,9.738600,0.000000,0.000000,29.218600,0.006047,28,1.83,3
kleidiai-panel,1024,1024,1024,2397,3.000700,5147.518300,1715.430000,10.338000,0.000000,0.000000,31.021200,0.005908,28,5.62,3
accelerate,1024,1024,1024,2324,3.000700,4990.752000,1663.140000,10.545300,0.000000,0.000000,31.644300,0.006296,28,6.15,3
sme-4x1,2048,2048,2048,220,3.012900,3779.571200,1254.320000,8.594700,0.000000,0.000000,25.895100,0.006820,28,0.89,3
sme-1x4sym,2048,2048,2048,217,3.004600,3728.031600,1240.760000,8.306600,0.000000,0.000000,24.958100,0.006800,28,9.00,3
sme-1x4acc,2048,2048,2048,272,3.005000,4672.924400,1556.860000,9.830800,0.000000,0.000000,29.507100,0.006403,28,10.98,3
sme-1x4acckc,2048,2048,2048,277,3.008000,4758.823800,1582.060000,10.073200,0.000000,0.000000,30.306300,0.006386,28,8.51,3
kleidiai-fullpack,2048,2048,2048,278,3.007900,4776.003600,1589.940000,9.629900,0.000000,0.000000,28.965700,0.006043,28,4.40,3
kleidiai-panel,2048,2048,2048,275,3.008200,4724.464000,1570.510000,9.702800,0.000000,0.000000,29.187900,0.006170,32,4.22,3
accelerate,2048,2048,2048,291,3.004000,4999.341900,1664.220000,10.299100,0.000000,0.000000,30.938400,0.006188,28,5.01,3
sme-4x1,4096,4096,4096,27,3.024500,3710.851700,1232.590000,8.521000,0.000000,0.000000,26.277100,0.006862,32,4.89,3
sme-1x4sym,4096,4096,4096,30,3.051700,4123.168600,1350.290000,9.075900,0.000000,0.000000,27.714300,0.006722,32,2.35,3
sme-1x4acc,4096,4096,4096,27,3.024500,3710.851700,1230.160000,8.492000,0.000000,0.000000,25.664900,0.006873,32,3.90,3
sme-1x4acckc,4096,4096,4096,27,3.088400,3710.851700,1205.020000,8.267700,0.000000,0.000000,25.460500,0.006893,32,10.95,3
kleidiai-fullpack,4096,4096,4096,35,3.031500,4810.363400,1586.790000,9.583500,0.000000,0.000000,29.050300,0.006039,31,2.63,3
kleidiai-panel,4096,4096,4096,34,3.047700,4672.924400,1519.580000,8.573800,0.000000,0.000000,26.130400,0.005662,61,2.93,3
accelerate,4096,4096,4096,35,3.040900,4810.363400,1581.880000,9.945500,0.000000,0.000000,30.243300,0.006287,31,3.56,3
sme-4x1,128,32768,512,607,3.003100,2607.045100,868.110000,7.172200,0.000000,0.000000,21.538800,0.008262,28,0.57,3
sme-1x4sym,128,32768,512,608,3.000200,2611.340100,870.380000,7.201700,0.000000,0.000000,21.606600,0.008274,28,0.10,3
sme-1x4acc,128,32768,512,506,3.001600,2173.253500,724.370000,6.427100,0.000000,0.000000,19.309500,0.008968,28,2.26,3
sme-1x4acckc,128,32768,512,504,3.003400,2164.663500,720.750000,6.539500,0.000000,0.000000,19.642600,0.009024,28,4.04,3
kleidiai-fullpack,128,32768,512,362,3.002500,1554.778200,517.830000,5.543000,0.000000,0.000000,16.642900,0.010704,28,0.44,3
kleidiai-panel,128,32768,512,742,3.002000,3186.865700,1061.980000,8.203200,0.000000,0.000000,24.626100,0.007686,30,0.95,3
accelerate,128,32768,512,791,3.003200,3397.319100,1131.370000,8.945300,0.000000,0.000000,26.867300,0.007898,28,0.50,3
