impl,M,K,N,iters,wall_s,gflop,gflops,cpu_w,pcluster_w,ecluster_w,cpu_j,j_per_gflop,samples
sme-4x1,1024,1024,1024,1734,3.0015,3723.7366,1240.63,8.0380,0,0,24.1262,0.006479,31
sme-1x4sym,1024,1024,1024,1752,3.0006,3762.3914,1253.89,8.4426,0,0,25.3327,0.006733,28
sme-1x4acc,1024,1024,1024,2404,3.0006,5162.5507,1720.49,10.4266,0,0,31.2859,0.006060,28
sme-1x4acckc,1024,1024,1024,2455,3.0004,5272.0724,1757.13,10.5446,0,0,31.6379,0.006001,28
kleidiai-fullpack,1024,1024,1024,2250,3.0003,4831.8382,1610.47,9.7386,0,0,29.2186,0.006047,28
kleidiai-panel,1024,1024,1024,2460,3.0010,5282.8098,1760.38,10.3993,0,0,31.2083,0.005908,28
accelerate,1024,1024,1024,2352,3.0007,5050.8815,1683.25,10.5981,0,0,31.8019,0.006296,28
sme-4x1,2048,2048,2048,220,3.0132,3779.5712,1254.32,8.3967,0,0,25.3009,0.006694,28
sme-1x4sym,2048,2048,2048,217,3.0046,3728.0316,1240.76,8.3066,0,0,24.9581,0.006695,28
sme-1x4acc,2048,2048,2048,272,3.0015,4672.9244,1556.86,9.8308,0,0,29.5071,0.006314,28
sme-1x4acckc,2048,2048,2048,280,3.0086,4810.3634,1598.85,10.0732,0,0,30.3063,0.006300,28
kleidiai-fullpack,2048,2048,2048,279,3.0079,4793.1835,1593.52,9.6299,0,0,28.9657,0.006043,28
kleidiai-panel,2048,2048,2048,275,3.0082,4724.4640,1570.51,9.7028,0,0,29.1879,0.006178,32
accelerate,2048,2048,2048,294,3.0005,5050.8815,1683.33,10.6316,0,0,31.9000,0.006316,28
sme-4x1,4096,4096,4096,27,3.0106,3710.8517,1232.59,8.3019,0,0,24.9936,0.006735,32
sme-1x4sym,4096,4096,4096,29,3.0209,3985.7297,1319.38,8.7799,0,0,26.5233,0.006655,32
sme-1x4acc,4096,4096,4096,28,3.0245,3848.2907,1272.39,8.4920,0,0,25.6842,0.006674,32
sme-1x4acckc,4096,4096,4096,27,3.0795,3710.8517,1205.02,8.2677,0,0,25.4605,0.006861,32
kleidiai-fullpack,4096,4096,4096,35,3.0063,4810.3634,1600.10,9.6631,0,0,29.0503,0.006039,31
kleidiai-panel,4096,4096,4096,34,3.0477,4672.9244,1533.24,8.5738,0,0,26.1304,0.005592,61
accelerate,4096,4096,4096,36,3.0821,4947.8023,1605.35,10.0979,0,0,31.1227,0.006290,32
sme-4x1,128,32768,512,610,3.0014,2619.9301,872.89,7.1016,0,0,21.3148,0.008136,28
sme-1x4sym,128,32768,512,608,3.0002,2611.3401,870.39,7.1070,0,0,21.3224,0.008165,28
sme-1x4acc,128,32768,512,506,3.0002,2173.2535,724.37,6.3867,0,0,19.1615,0.008817,28
sme-1x4acckc,128,32768,512,524,3.0017,2250.5629,749.77,6.5479,0,0,19.6547,0.008733,28
kleidiai-fullpack,128,32768,512,363,3.0012,1559.0731,519.48,5.4612,0,0,16.3901,0.010513,28
kleidiai-panel,128,32768,512,739,3.0023,3173.9808,1057.19,7.9706,0,0,23.9301,0.007539,30
accelerate,128,32768,512,788,3.0032,3384.4342,1126.93,8.8070,0,0,26.4492,0.007815,28
