experiment,category,mode,M,N,K,implementation,variant,median_ms,mean_ms,min_ms,stddev_ms,reps,ns_per_invocation,gflops,packing_ms,compute_ms,max_abs_error,relative_error,max_abs_error_vs_fp64,status
hot_microkernel,hot,hot_microkernel,64,16,128,"SME 4x1","64x16 tile",1.316334,1.363532,1.293333,0.146949,151,493.564,531.125,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,128,"SME 4x1 [iso]","64x16, smstart/call",1.307458,1.309152,1.294208,0.009196,201,490.235,534.731,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,128,"SME 2x2","32x32 tile",1.810709,1.811533,1.791042,0.010420,166,490.973,533.928,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,128,"SME 2x2 [iso]","32x32, smstart/call",1.818063,1.819267,1.792041,0.014550,166,492.967,531.768,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4","16x64 tile",1.807084,1.809270,1.786833,0.011934,167,490.522,534.418,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4 [iso]","16x64, smstart/call",1.796229,1.797498,1.787666,0.007015,166,487.576,537.648,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4sym","16x64 tile",1.664916,1.668072,1.658917,0.009340,181,486.675,538.643,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4sym [iso]","16x64, smstart/call",1.673459,1.674573,1.659834,0.010671,181,489.172,535.893,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,128,"SME 4x1ZP","64x16 tile",1.820458,1.820205,1.799708,0.010545,165,490.557,534.380,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,128,"SME 4x1ZP [iso]","64x16, smstart/call",1.824021,1.824463,1.803333,0.011541,166,491.517,533.336,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4Acc","16x64 tile",1.606292,1.606948,1.593292,0.007957,186,182.991,1432.554,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4Acc [iso]","16x64, smstart/call",1.609417,1.610980,1.596958,0.008869,187,183.347,1429.772,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4Acc [amort]","16x64, zero+store amort",1.151917,1.152291,1.141833,0.006503,201,131.228,1997.627,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4AccKc","16x64 tile",1.624021,1.625013,1.610666,0.009682,186,182.906,1433.218,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4AccKc [iso]","16x64, smstart/call",1.628604,1.629331,1.613625,0.009606,184,183.422,1429.185,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,128,"SME 1x4AccKc [amort]","16x64, zero+store amort",1.165875,1.177473,1.155000,0.141111,201,131.307,1996.420,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,128,"KAI 2VL","32x32 tile",1.591688,1.594211,1.573791,0.013770,184,190.644,1375.044,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,16,128,"KAI 8VS","16x16 tile",1.915667,1.888454,1.656250,0.085870,181,122.227,536.182,NA,NA,3.337860e-06,2.031063e-07,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,256,"SME 4x1","64x16 tile",1.927708,1.931336,1.920375,0.009593,155,617.459,849.105,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,256,"SME 4x1 [iso]","64x16, smstart/call",1.928791,1.931780,1.920958,0.009286,156,617.806,848.628,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,256,"SME 2x2","32x32 tile",1.837667,1.840539,1.829208,0.009728,163,617.911,848.485,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,256,"SME 2x2 [iso]","32x32, smstart/call",1.837000,1.840893,1.831541,0.009747,161,617.687,848.793,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4","16x64 tile",1.854125,1.857601,1.847375,0.009746,163,617.424,849.154,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4 [iso]","16x64, smstart/call",1.855542,1.858575,1.848125,0.008970,162,617.896,848.505,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4sym","16x64 tile",1.798042,1.799818,1.790958,0.007271,167,617.459,849.105,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4sym [iso]","16x64, smstart/call",1.798792,1.801529,1.793375,0.008413,167,617.717,848.751,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,256,"SME 4x1ZP","64x16 tile",1.795063,1.797755,1.787833,0.007279,168,617.497,849.054,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,256,"SME 4x1ZP [iso]","64x16, smstart/call",1.795750,1.799308,1.788708,0.008972,167,617.733,848.729,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4Acc","16x64 tile",1.648584,1.649874,1.641500,0.009298,183,312.824,1675.982,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4Acc [iso]","16x64, smstart/call",1.649417,1.649941,1.643291,0.005443,183,312.982,1675.136,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4Acc [amort]","16x64, zero+store amort",1.377084,1.378968,1.371042,0.007856,201,261.306,2006.412,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4AccKc","16x64 tile",1.718958,1.719422,1.713375,0.006293,175,312.765,1676.299,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4AccKc [iso]","16x64, smstart/call",1.720875,1.722701,1.713750,0.007869,175,313.114,1674.431,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,64,256,"SME 1x4AccKc [amort]","16x64, zero+store amort",1.435916,1.436591,1.429833,0.005503,201,261.266,2006.724,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,32,32,256,"KAI 2VL","32x32 tile",1.691104,1.691783,1.682416,0.007420,178,319.800,1639.423,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,16,16,256,"KAI 8VS","16x16 tile",1.576417,1.613770,1.561875,0.081025,191,139.580,939.045,NA,NA,5.722046e-06,2.753174e-07,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,512,"SME 4x1","64x16 tile",1.856292,1.858133,1.849416,0.008375,162,878.510,1193.584,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
hot_microkernel,hot,hot_microkernel,64,16,512,"SME 4x1 [iso]","64x16, smstart/call",1.856917,1.858908,1.849792,0.007340,162,878.806,1193.183,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS
