experiment,category,mode,M,N,K,implementation,variant,median_ms,mean_ms,min_ms,stddev_ms,reps,ns_per_invocation,gflops,packing_ms,compute_ms,max_abs_error,relative_error,max_abs_error_vs_fp64,status,spread_pct,n_runs
hot_microkernel,hot,hot_microkernel,64,16,128,SME 4x1,64x16 tile,1.867667,1.879611,1.854667,0.110498,151,488.790000,536.312000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,1.35,3
hot_microkernel,hot,hot_microkernel,64,16,128,SME 4x1 [iso],"64x16, smstart/call",1.870167,1.871554,1.854083,0.009786,201,489.444000,535.595000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.52,3
hot_microkernel,hot,hot_microkernel,32,32,128,SME 2x2,32x32 tile,1.824708,1.827819,1.818292,0.009456,166,488.644000,536.472000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.82,3
hot_microkernel,hot,hot_microkernel,32,32,128,SME 2x2 [iso],"32x32, smstart/call",1.826667,1.830302,1.818209,0.012730,166,487.501000,537.730000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,1.21,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4,16x64 tile,1.807084,1.809270,1.799791,0.008172,167,487.219000,538.041000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.79,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4 [iso],"16x64, smstart/call",1.804167,1.808229,1.800750,0.007015,166,486.167000,539.205000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.34,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4sym,16x64 tile,1.794833,1.796629,1.792833,0.007176,181,485.912000,539.489000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.25,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4sym [iso],"16x64, smstart/call",1.795562,1.797392,1.793833,0.008582,181,486.865000,538.433000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.72,3
hot_microkernel,hot,hot_microkernel,64,16,128,SME 4x1ZP,64x16 tile,1.769333,1.770585,1.767625,0.007133,165,486.398000,538.949000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,1.05,3
hot_microkernel,hot,hot_microkernel,64,16,128,SME 4x1ZP [iso],"64x16, smstart/call",1.770334,1.772065,1.768542,0.009854,166,486.654000,538.666000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,1.19,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4Acc,16x64 tile,1.607666,1.609455,1.606083,0.007957,186,182.249000,1438.385000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,0.78,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4Acc [iso],"16x64, smstart/call",1.610667,1.612899,1.609041,0.008869,187,183.347000,1429.772000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,4.53,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4Acc [amort],"16x64, zero+store amort",1.212125,1.215643,1.151750,0.046858,201,136.901000,1914.838000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,12.59,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4AccKc,16x64 tile,1.624021,1.625013,1.601417,0.009682,186,182.906000,1433.218000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,2.96,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4AccKc [iso],"16x64, smstart/call",1.628604,1.629331,1.604375,0.009606,184,183.422000,1429.185000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,7.00,3
hot_microkernel,hot,hot_microkernel,16,64,128,SME 1x4AccKc [amort],"16x64, zero+store amort",1.246708,1.226733,1.155000,0.072730,201,141.222000,1856.254000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,15.14,3
hot_microkernel,hot,hot_microkernel,32,32,128,KAI 2VL,32x32 tile,1.591688,1.594211,1.573791,0.013770,184,190.644000,1375.044000,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,PASS,2.09,3
hot_microkernel,hot,hot_microkernel,16,16,128,KAI 8VS,16x16 tile,1.915667,1.888454,1.851084,0.040140,181,109.236000,599.951000,NA,NA,3.337860e-06,2.031063e-07,0.000000e+00,PASS,13.63,3
