group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1364.89,4.41,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,OpenBLAS,1320.16,4.10,,,
square,512,512,512,MaxMulSK,1526.65,0.02,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,OpenBLAS,1499.99,0.26,,,
square,1024,1024,1024,MaxMulSK,1602.85,1.59,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,OpenBLAS,1433.73,1.79,,,
square,2048,2048,2048,MaxMulSK,1497.65,0.87,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,OpenBLAS,653.41,0.26,,,
square,4096,4096,4096,MaxMulSK,1448.01,0.21,2048/512/4096/swap,3.700256e-04,1.194000e-06
square,4096,4096,4096,OpenBLAS,112.91,0.70,,,
llm,64,8192,512,MaxMulSK,898.62,0.73,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,OpenBLAS,670.34,10.26,,,
llm,64,16384,512,MaxMulSK,804.50,0.39,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,OpenBLAS,459.73,1.12,,,
llm,64,32768,512,MaxMulSK,795.57,0.22,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,OpenBLAS,472.81,1.06,,,
llm,128,8192,512,MaxMulSK,1079.09,0.48,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,OpenBLAS,590.82,2.39,,,
llm,128,16384,512,MaxMulSK,1023.68,0.46,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,OpenBLAS,463.68,0.57,,,
llm,128,32768,512,MaxMulSK,1025.92,0.91,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,OpenBLAS,483.95,1.43,,,
