group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1410.32,0.00,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,Accelerate,1785.57,23.95,,,
square,256,256,256,OpenBLAS,1326.68,0.00,,,
square,512,512,512,MaxMulSK,1665.57,0.03,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,Accelerate,1777.72,0.11,,,
square,512,512,512,OpenBLAS,1630.59,0.10,,,
square,1024,1024,1024,MaxMulSK,1775.51,0.12,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,Accelerate,1686.95,0.18,,,
square,1024,1024,1024,OpenBLAS,1530.95,1.87,,,
square,2048,2048,2048,MaxMulSK,1620.55,0.05,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,Accelerate,1680.88,0.31,,,
square,2048,2048,2048,OpenBLAS,1312.94,0.08,,,
square,4096,4096,4096,MaxMulSK,1625.44,0.06,2048/512/4096/swap,0.000000e+00,0.000000e+00
square,4096,4096,4096,Accelerate,1603.84,0.15,,,
square,4096,4096,4096,OpenBLAS,1249.82,0.04,,,
llm,64,8192,512,MaxMulSK,898.72,1.44,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,Accelerate,971.46,0.02,,,
llm,64,8192,512,OpenBLAS,710.58,1.79,,,
llm,64,16384,512,MaxMulSK,794.92,1.74,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,Accelerate,466.58,27.53,,,
llm,64,16384,512,OpenBLAS,298.46,2.23,,,
llm,64,32768,512,MaxMulSK,456.47,7.07,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,Accelerate,543.33,7.24,,,
llm,64,32768,512,OpenBLAS,308.26,0.80,,,
llm,128,8192,512,MaxMulSK,1011.89,68.33,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,Accelerate,1166.90,0.70,,,
llm,128,8192,512,OpenBLAS,621.81,6.27,,,
llm,128,16384,512,MaxMulSK,496.72,53.97,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,Accelerate,534.40,17.16,,,
llm,128,16384,512,OpenBLAS,249.61,9.41,,,
llm,128,32768,512,MaxMulSK,423.61,0.63,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,Accelerate,536.72,18.41,,,
llm,128,32768,512,OpenBLAS,294.80,3.82,,,
