group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1398.10,0.18,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,Accelerate,1789.57,0.00,,,
square,256,256,256,OpenBLAS,1326.68,0.00,,,
square,512,512,512,MaxMulSK,1658.72,0.08,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,Accelerate,1776.25,0.11,,,
square,512,512,512,OpenBLAS,1642.64,0.05,,,
square,1024,1024,1024,MaxMulSK,1767.75,1.30,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,Accelerate,1687.66,0.19,,,
square,1024,1024,1024,OpenBLAS,1558.88,2.04,,,
square,2048,2048,2048,MaxMulSK,1604.61,0.21,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,Accelerate,1707.13,0.19,,,
square,2048,2048,2048,OpenBLAS,1311.35,0.08,,,
square,4096,4096,4096,MaxMulSK,1654.88,1.65,2048/512/4096/swap,0.000000e+00,0.000000e+00
square,4096,4096,4096,Accelerate,1604.64,0.17,,,
square,4096,4096,4096,OpenBLAS,1249.96,0.24,,,
llm,64,8192,512,MaxMulSK,926.57,0.86,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,Accelerate,977.54,2.05,,,
llm,64,8192,512,OpenBLAS,678.55,14.22,,,
llm,64,16384,512,MaxMulSK,813.57,0.20,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,Accelerate,855.97,0.03,,,
llm,64,16384,512,OpenBLAS,471.59,0.44,,,
llm,64,32768,512,MaxMulSK,809.82,0.20,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,Accelerate,856.91,0.06,,,
llm,64,32768,512,OpenBLAS,479.36,0.47,,,
llm,128,8192,512,MaxMulSK,1110.84,0.26,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,Accelerate,1185.91,0.63,,,
llm,128,8192,512,OpenBLAS,627.56,0.19,,,
llm,128,16384,512,MaxMulSK,1051.16,0.10,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,Accelerate,1140.89,0.10,,,
llm,128,16384,512,OpenBLAS,467.53,0.09,,,
llm,128,32768,512,MaxMulSK,1048.01,0.76,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,Accelerate,1136.82,0.08,,,
llm,128,32768,512,OpenBLAS,488.05,0.70,,,
