group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1390.86,0.00,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,OpenBLAS,1346.65,0.17,,,
square,512,512,512,MaxMulSK,1638.89,1.70,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,OpenBLAS,1607.60,0.22,,,
square,1024,1024,1024,MaxMulSK,1522.68,2.89,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,OpenBLAS,1299.44,1.90,,,
square,2048,2048,2048,MaxMulSK,1456.87,1.93,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,OpenBLAS,446.41,9.41,,,
square,4096,4096,4096,MaxMulSK,1292.25,10.68,2048/512/4096/swap,3.738403e-04,1.194376e-06
square,4096,4096,4096,OpenBLAS,102.75,3.98,,,
llm,64,8192,512,MaxMulSK,785.78,1.52,1024/64/2048/-,4.577637e-04,1.694216e-06
llm,64,8192,512,OpenBLAS,493.07,2.56,,,
llm,64,16384,512,MaxMulSK,717.76,0.71,1024/64/2048/-,8.544922e-04,2.413017e-06
llm,64,16384,512,OpenBLAS,410.13,0.65,,,
llm,64,32768,512,MaxMulSK,716.68,4.74,1024/64/2048/-,1.739502e-03,3.336079e-06
llm,64,32768,512,OpenBLAS,448.14,1.15,,,
llm,128,8192,512,MaxMulSK,1015.30,0.95,1024/64/2048/-,6.103516e-04,1.695468e-06
llm,128,8192,512,OpenBLAS,541.24,0.77,,,
llm,128,16384,512,MaxMulSK,970.92,1.15,1024/64/2048/-,1.037598e-03,2.398821e-06
llm,128,16384,512,OpenBLAS,438.58,0.63,,,
llm,128,32768,512,MaxMulSK,965.19,0.19,1024/64/2048/-,1.785278e-03,3.346307e-06
llm,128,32768,512,OpenBLAS,448.70,0.97,,,
