group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1412.82,0.18,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,OpenBLAS,1326.68,0.00,,,
square,512,512,512,MaxMulSK,1665.15,0.00,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,OpenBLAS,1605.80,0.13,,,
square,1024,1024,1024,MaxMulSK,1745.68,1.41,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,OpenBLAS,1561.57,0.15,,,
square,2048,2048,2048,MaxMulSK,1598.52,0.85,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,OpenBLAS,1286.53,0.41,,,
square,4096,4096,4096,MaxMulSK,1603.24,0.88,2048/512/4096/swap,0.000000e+00,0.000000e+00
square,4096,4096,4096,OpenBLAS,1228.80,1.89,,,
llm,64,8192,512,MaxMulSK,877.63,0.75,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,OpenBLAS,638.06,2.41,,,
llm,64,16384,512,MaxMulSK,784.91,1.14,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,OpenBLAS,438.24,5.08,,,
llm,64,32768,512,MaxMulSK,784.10,0.19,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,OpenBLAS,459.67,5.07,,,
llm,128,8192,512,MaxMulSK,1040.32,0.64,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,OpenBLAS,621.74,3.49,,,
llm,128,16384,512,MaxMulSK,995.43,0.55,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,OpenBLAS,460.78,5.02,,,
llm,128,32768,512,MaxMulSK,1002.90,2.48,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,OpenBLAS,485.16,7.49,,,
