group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1412.82,0.17,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,OpenBLAS,1331.10,0.00,,,
square,512,512,512,MaxMulSK,1662.56,0.00,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,OpenBLAS,1631.41,0.03,,,
square,1024,1024,1024,MaxMulSK,1742.82,0.66,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,OpenBLAS,1517.43,0.35,,,
square,2048,2048,2048,MaxMulSK,1575.99,0.53,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,OpenBLAS,644.18,0.40,,,
square,4096,4096,4096,MaxMulSK,1479.97,0.71,2048/512/4096/swap,3.700256e-04,1.194000e-06
square,4096,4096,4096,OpenBLAS,113.62,0.09,,,
llm,64,8192,512,MaxMulSK,888.19,2.43,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,OpenBLAS,608.78,2.93,,,
llm,64,16384,512,MaxMulSK,776.99,1.93,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,OpenBLAS,470.05,0.19,,,
llm,64,32768,512,MaxMulSK,787.14,0.12,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,OpenBLAS,481.95,1.22,,,
llm,128,8192,512,MaxMulSK,1042.97,1.93,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,OpenBLAS,607.35,3.35,,,
llm,128,16384,512,MaxMulSK,1003.69,1.96,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,OpenBLAS,468.05,0.18,,,
llm,128,32768,512,MaxMulSK,1014.92,0.06,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,OpenBLAS,484.68,0.07,,,
