group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1393.23,0.17,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,OpenBLAS,1326.68,0.00,,,
square,512,512,512,MaxMulSK,1654.46,0.00,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,OpenBLAS,1630.18,0.08,,,
square,1024,1024,1024,MaxMulSK,1768.57,0.62,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,OpenBLAS,1521.73,2.22,,,
square,2048,2048,2048,MaxMulSK,1547.98,1.97,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,OpenBLAS,632.01,4.31,,,
square,4096,4096,4096,MaxMulSK,1535.39,2.75,2048/512/4096/swap,0.000000e+00,0.000000e+00
square,4096,4096,4096,OpenBLAS,1227.82,0.85,,,
llm,64,8192,512,MaxMulSK,885.62,1.17,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,OpenBLAS,590.10,6.84,,,
llm,64,16384,512,MaxMulSK,800.25,2.08,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,OpenBLAS,457.37,3.74,,,
llm,64,32768,512,MaxMulSK,792.36,0.53,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,OpenBLAS,462.53,3.07,,,
llm,128,8192,512,MaxMulSK,1059.79,0.98,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,OpenBLAS,591.10,1.89,,,
llm,128,16384,512,MaxMulSK,1020.62,0.50,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,OpenBLAS,465.25,1.30,,,
llm,128,32768,512,MaxMulSK,1034.05,0.24,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,OpenBLAS,481.30,0.22,,,
