group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1410.38,0.18,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,OpenBLAS,1331.10,0.00,,,
square,512,512,512,MaxMulSK,1665.15,0.00,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,OpenBLAS,1572.86,3.66,,,
square,1024,1024,1024,MaxMulSK,1665.42,2.39,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,OpenBLAS,1469.81,3.44,,,
square,2048,2048,2048,MaxMulSK,1553.11,0.32,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,OpenBLAS,624.28,1.29,,,
llm,64,8192,512,MaxMulSK,890.21,0.48,1024/64/2048/-,4.272461e-04,1.689846e-06
llm,64,8192,512,OpenBLAS,636.07,3.87,,,
llm,64,16384,512,MaxMulSK,795.31,0.09,1024/64/2048/-,1.159668e-03,2.436369e-06
llm,64,16384,512,OpenBLAS,468.91,0.53,,,
llm,64,32768,512,MaxMulSK,795.64,0.59,1024/64/2048/-,1.571655e-03,3.333790e-06
llm,64,32768,512,OpenBLAS,483.46,0.29,,,
llm,128,8192,512,MaxMulSK,1052.99,0.23,1024/64/2048/-,4.730225e-04,1.690590e-06
llm,128,8192,512,OpenBLAS,606.02,2.07,,,
llm,128,16384,512,MaxMulSK,1015.56,0.33,1024/64/2048/-,7.934570e-04,2.391357e-06
llm,128,16384,512,OpenBLAS,469.74,0.13,,,
llm,128,32768,512,MaxMulSK,1014.31,0.22,1024/64/2048/-,2.105713e-03,3.348429e-06
llm,128,32768,512,OpenBLAS,488.17,0.30,,,
