group,M,K,N,implementation,gflops,spread_pct,blocking,max_abs_error,rel_frobenius
square,256,256,256,MaxMulSK,1410.32,0.18,1024/64/2048/-,0.000000e+00,0.000000e+00
square,256,256,256,OpenBLAS,1326.68,0.00,,,
square,512,512,512,MaxMulSK,1659.14,0.03,1024/64/2048/-,0.000000e+00,0.000000e+00
square,512,512,512,OpenBLAS,1583.30,0.02,,,
square,1024,1024,1024,MaxMulSK,1742.03,0.93,1024/64/2048/-,0.000000e+00,0.000000e+00
square,1024,1024,1024,OpenBLAS,1542.27,0.47,,,
square,2048,2048,2048,MaxMulSK,1576.95,0.55,1024/512/2048/swap,0.000000e+00,0.000000e+00
square,2048,2048,2048,OpenBLAS,1298.58,0.15,,,
square,4096,4096,4096,MaxMulSK,1432.91,4.99,2048/512/4096/swap,0.000000e+00,0.000000e+00
square,4096,4096,4096,OpenBLAS,1240.40,1.50,,,
llm,64,8192,512,MaxMulSK,866.21,0.46,1024/64/2048/-,4.730225e-04,1.703556e-06
llm,64,8192,512,OpenBLAS,647.03,1.76,,,
llm,64,16384,512,MaxMulSK,801.15,0.16,1024/64/2048/-,8.163452e-04,2.377400e-06
llm,64,16384,512,OpenBLAS,467.34,0.28,,,
llm,64,32768,512,MaxMulSK,797.90,0.13,1024/64/2048/-,1.586914e-03,3.368215e-06
llm,64,32768,512,OpenBLAS,482.93,0.96,,,
llm,128,8192,512,MaxMulSK,1057.70,0.33,1024/64/2048/-,4.844666e-04,1.692900e-06
llm,128,8192,512,OpenBLAS,604.17,4.90,,,
llm,128,16384,512,MaxMulSK,1013.62,0.12,1024/64/2048/-,1.068115e-03,2.401443e-06
llm,128,16384,512,OpenBLAS,464.86,0.17,,,
llm,128,32768,512,MaxMulSK,1014.89,0.24,1024/64/2048/-,2.334595e-03,3.362080e-06
llm,128,32768,512,OpenBLAS,486.17,0.39,,,
