shape,tag,M,K,N,impl,reps,ms,GFLOPs,checksum
0,square,256,256,256,MaxMulSK-1x4,7601,0.0241,1390.9,52.477163
0,square,256,256,256,MaxMulSK-2x2,7601,0.0270,1244.6,52.477163
0,square,256,256,256,MaxMulSK-4x1,7601,0.0360,933.1,52.477163
0,square,256,256,256,Accelerate,7601,0.0187,1789.6,52.477163
0,square,256,256,256,MpGEMM-sgemm,7601,0.0226,1485.8,52.477163
1,square,512,512,512,MaxMulSK-2x2,1667,0.1740,1543.1,-29.779868
1,square,512,512,512,MaxMulSK-4x1,1667,0.2101,1277.8,-29.779868
1,square,512,512,512,Accelerate,1667,0.1509,1779.2,-29.779868
1,square,512,512,512,MpGEMM-sgemm,1667,0.1491,1800.1,-29.779868
1,square,512,512,512,MaxMulSK-1x4,1667,0.1620,1657.0,-29.779868
2,square,1024,1024,1024,MaxMulSK-4x1,248,1.4073,1525.9,380.818639
2,square,1024,1024,1024,Accelerate,248,1.2715,1689.0,380.818639
2,square,1024,1024,1024,MpGEMM-sgemm,248,1.1360,1890.3,380.818639
2,square,1024,1024,1024,MaxMulSK-1x4,248,1.2050,1782.2,380.818639
2,square,1024,1024,1024,MaxMulSK-2x2,248,1.3071,1643.0,380.818639
3,square,2048,2048,2048,Accelerate,28,10.3599,1658.3,869.531806
3,square,2048,2048,2048,MpGEMM-sgemm,28,11.0939,1548.6,869.531806
3,square,2048,2048,2048,MaxMulSK-1x4,28,10.7048,1604.9,869.531806
3,square,2048,2048,2048,MaxMulSK-2x2,28,11.5451,1488.1,869.531806
3,square,2048,2048,2048,MaxMulSK-4x1,28,12.1000,1419.8,869.531806
4,square,4096,4096,4096,MpGEMM-sgemm,5,91.0528,1509.4,-7735.920698
4,square,4096,4096,4096,MaxMulSK-1x4,5,83.3997,1648.0,-7735.920698
4,square,4096,4096,4096,MaxMulSK-2x2,5,93.2581,1473.7,-7735.923140
4,square,4096,4096,4096,MaxMulSK-4x1,5,104.2546,1318.3,-7735.923140
4,square,4096,4096,4096,Accelerate,5,85.5736,1606.1,-7735.920698
5,llm,64,8192,512,MaxMulSK-1x4,482,0.6137,874.8,155.204001
5,llm,64,8192,512,MaxMulSK-2x2,482,0.6738,796.7,155.204001
5,llm,64,8192,512,MaxMulSK-4x1,482,0.7253,740.2,155.204001
5,llm,64,8192,512,Accelerate,482,0.5731,936.7,155.204153
5,llm,64,8192,512,MpGEMM-sgemm,482,0.5393,995.5,155.204153
6,llm,64,16384,512,MaxMulSK-2x2,232,1.3791,778.6,154.216006
6,llm,64,16384,512,MaxMulSK-4x1,232,1.5153,708.6,154.216006
6,llm,64,16384,512,Accelerate,232,1.2826,837.1,154.216075
6,llm,64,16384,512,MpGEMM-sgemm,232,1.2161,882.9,154.216075
6,llm,64,16384,512,MaxMulSK-1x4,232,1.3648,786.8,154.216006
7,llm,64,32768,512,MaxMulSK-4x1,107,3.1436,683.1,166.852723
7,llm,64,32768,512,Accelerate,107,2.6241,818.4,166.852464
7,llm,64,32768,512,MpGEMM-sgemm,107,2.4234,886.2,166.852464
7,llm,64,32768,512,MaxMulSK-1x4,107,2.7672,776.0,166.852723
7,llm,64,32768,512,MaxMulSK-2x2,107,2.8198,761.6,166.852723
8,llm,128,8192,512,Accelerate,285,0.9196,1167.6,-654.568475
8,llm,128,8192,512,MpGEMM-sgemm,285,0.8961,1198.3,-654.568475
8,llm,128,8192,512,MaxMulSK-1x4,285,1.0379,1034.5,-654.568228
