shape,tag,M,K,N,impl,reps,ms,GFLOPs,checksum
0,square,256,256,256,MaxMulSK-1x4,5343,0.0240,1395.7,52.477163
0,square,256,256,256,MaxMulSK-2x2,5343,0.0270,1242.8,52.477163
0,square,256,256,256,MaxMulSK-4x1,5343,0.0359,935.3,52.477163
0,square,256,256,256,MpGEMM-sgemm,5343,0.0248,1353.5,52.477163
1,square,512,512,512,MaxMulSK-2x2,1667,0.1740,1543.1,-29.779868
1,square,512,512,512,MaxMulSK-4x1,1667,0.2101,1277.8,-29.779868
1,square,512,512,512,MpGEMM-sgemm,1667,0.1541,1742.1,-29.779868
1,square,512,512,512,MaxMulSK-1x4,1667,0.1620,1657.0,-29.779868
2,square,1024,1024,1024,MaxMulSK-4x1,248,1.4094,1523.7,380.818639
2,square,1024,1024,1024,MpGEMM-sgemm,248,1.1623,1847.7,380.818639
2,square,1024,1024,1024,MaxMulSK-1x4,248,1.2046,1782.7,380.818639
2,square,1024,1024,1024,MaxMulSK-2x2,248,1.3056,1644.8,380.818639
3,square,2048,2048,2048,MpGEMM-sgemm,28,11.2011,1533.8,869.531806
3,square,2048,2048,2048,MaxMulSK-1x4,28,10.7583,1596.9,869.531806
3,square,2048,2048,2048,MaxMulSK-2x2,28,11.3730,1510.6,869.531806
3,square,2048,2048,2048,MaxMulSK-4x1,28,12.0972,1420.1,869.531806
4,square,4096,4096,4096,MaxMulSK-1x4,5,89.9528,1527.9,-7735.920698
4,square,4096,4096,4096,MaxMulSK-2x2,5,92.6354,1483.7,-7735.923140
4,square,4096,4096,4096,MaxMulSK-4x1,5,103.8236,1323.8,-7735.923140
4,square,4096,4096,4096,MpGEMM-sgemm,5,93.4000,1471.5,-7735.920698
5,llm,64,8192,512,MaxMulSK-2x2,475,0.6660,806.2,155.204001
5,llm,64,8192,512,MaxMulSK-4x1,475,0.7157,750.1,155.204001
5,llm,64,8192,512,MpGEMM-sgemm,475,0.5309,1011.2,155.204153
5,llm,64,8192,512,MaxMulSK-1x4,475,0.5912,908.1,155.204001
6,llm,64,16384,512,MaxMulSK-4x1,234,1.5000,715.8,154.216006
6,llm,64,16384,512,MpGEMM-sgemm,234,1.1901,902.2,154.216075
6,llm,64,16384,512,MaxMulSK-1x4,234,1.3176,814.9,154.216006
6,llm,64,16384,512,MaxMulSK-2x2,234,1.3824,776.7,154.216006
7,llm,64,32768,512,MpGEMM-sgemm,116,2.3539,912.3,166.852464
7,llm,64,32768,512,MaxMulSK-1x4,116,2.6579,808.0,166.852723
7,llm,64,32768,512,MaxMulSK-2x2,116,2.7500,780.9,166.852723
7,llm,64,32768,512,MaxMulSK-4x1,116,2.9996,715.9,166.852723
8,llm,128,8192,512,MaxMulSK-1x4,295,0.9861,1088.9,-654.568228
8,llm,128,8192,512,MaxMulSK-2x2,295,1.0555,1017.3,-654.568228
8,llm,128,8192,512,MaxMulSK-4x1,295,1.1965,897.4,-654.568228
8,llm,128,8192,512,MpGEMM-sgemm,295,0.8606,1247.6,-654.568475
9,llm,128,16384,512,MaxMulSK-2x2,144,2.1427,1002.2,17.983041
9,llm,128,16384,512,MaxMulSK-4x1,144,2.4324,882.9,17.983041
9,llm,128,16384,512,MpGEMM-sgemm,144,1.8105,1186.2,17.982429
9,llm,128,16384,512,MaxMulSK-1x4,144,2.0564,1044.3,17.983041
10,llm,128,32768,512,MaxMulSK-4x1,71,4.8954,877.4,342.787488
10,llm,128,32768,512,MpGEMM-sgemm,71,3.6041,1191.7,342.790031
10,llm,128,32768,512,MaxMulSK-1x4,71,4.1258,1041.0,342.787488
10,llm,128,32768,512,MaxMulSK-2x2,71,4.3081,996.9,342.787488
11,mpgemm,64,512,32768,MpGEMM-sgemm,99,2.5486,842.6,150.565332
11,mpgemm,64,512,32768,MaxMulSK-1x4,99,2.4728,868.4,150.565332
11,mpgemm,64,512,32768,MaxMulSK-2x2,99,3.5226,609.6,150.565332
11,mpgemm,64,512,32768,MaxMulSK-4x1,99,3.2005,671.0,150.565332
12,mpgemm,128,512,32768,MaxMulSK-1x4,69,3.6729,1169.4,-473.347110
12,mpgemm,128,512,32768,MaxMulSK-2x2,69,4.9918,860.4,-473.347110
12,mpgemm,128,512,32768,MaxMulSK-4x1,69,4.9331,870.6,-473.347110
12,mpgemm,128,512,32768,MpGEMM-sgemm,69,3.8817,1106.5,-473.347110
13,mpgemm,4096,7168,4096,MaxMulSK-2x2,5,180.6058,1331.7,-4148.897994
13,mpgemm,4096,7168,4096,MaxMulSK-4x1,5,187.1484,1285.2,-4148.897994
13,mpgemm,4096,7168,4096,MpGEMM-sgemm,5,159.1676,1511.1,-4148.908143
13,mpgemm,4096,7168,4096,MaxMulSK-1x4,5,157.9761,1522.5,-4148.897994
14,mpgemm,64,16384,7168,MaxMulSK-4x1,12,26.9440,557.9,33.024740
14,mpgemm,64,16384,7168,MpGEMM-sgemm,12,18.3005,821.4,33.026265
14,mpgemm,64,16384,7168,MaxMulSK-1x4,12,19.2766,779.8,33.024740
14,mpgemm,64,16384,7168,MaxMulSK-2x2,12,25.8961,580.5,33.024740
