run,impl,reps,ms,GFLOPs,checksum
0,R0,15,24.368,947.4,-158.518131
0,F2,15,16.885,1367.2,-158.518131
0,F2-ZaPres,15,17.005,1357.6,-158.518131
0,Accelerate,15,16.528,1396.8,-158.519182
0,MpGEMM,15,16.395,1408.1,-158.519182
1,F2,15,16.959,1361.3,-158.518131
1,F2-ZaPres,15,17.001,1357.9,-158.518131
1,Accelerate,15,16.498,1399.3,-158.519182
1,MpGEMM,15,16.415,1406.3,-158.519182
1,R0,15,24.482,942.9,-158.518131
2,F2-ZaPres,15,16.978,1359.8,-158.518131
2,Accelerate,15,16.483,1400.6,-158.519182
2,MpGEMM,15,16.396,1408.0,-158.519182
2,R0,15,23.795,970.2,-158.518131
2,F2,15,16.952,1361.8,-158.518131
3,Accelerate,15,16.514,1397.9,-158.519182
3,MpGEMM,15,16.395,1408.1,-158.519182
3,R0,15,24.240,952.4,-158.518131
3,F2,15,16.960,1361.2,-158.518131
3,F2-ZaPres,15,17.008,1357.3,-158.518131
4,MpGEMM,15,16.388,1408.7,-158.519182
4,R0,15,25.349,910.7,-158.518131
4,F2,15,17.183,1343.5,-158.518131
4,F2-ZaPres,15,17.221,1340.5,-158.518131
4,Accelerate,15,16.655,1386.1,-158.519182
5,R0,15,24.552,940.3,-158.518131
5,F2,15,17.125,1348.0,-158.518131
5,F2-ZaPres,15,17.022,1356.2,-158.518131
5,Accelerate,15,16.607,1390.1,-158.519182
5,MpGEMM,15,16.647,1386.8,-158.519182
6,F2,15,16.965,1360.8,-158.518131
6,F2-ZaPres,15,17.100,1350.1,-158.518131
6,Accelerate,15,16.544,1395.4,-158.519182
6,MpGEMM,15,16.307,1415.7,-158.519182
6,R0,15,24.133,956.6,-158.518131
7,F2-ZaPres,15,17.016,1356.7,-158.518131
7,Accelerate,15,16.659,1385.8,-158.519182
7,MpGEMM,15,16.854,1369.7,-158.519182
7,R0,15,24.408,945.8,-158.518131
7,F2,15,17.062,1353.0,-158.518131
8,Accelerate,15,16.756,1377.8,-158.519182
8,MpGEMM,15,16.753,1378.0,-158.519182
8,R0,15,24.479,943.1,-158.518131
8,F2,15,16.916,1364.7,-158.518131
8,F2-ZaPres,15,17.153,1345.9,-158.518131
9,MpGEMM,15,16.793,1374.7,-158.519182
9,R0,15,24.416,945.5,-158.518131
9,F2,15,17.079,1351.7,-158.518131
9,F2-ZaPres,15,17.141,1346.8,-158.518131
9,Accelerate,15,16.868,1368.6,-158.519182

R0         medyan 945.7  min 910.7  max 970.2  yayilma 6.29%
F2         medyan 1361.0  min 1343.5  max 1367.2  yayilma 1.75%
F2-ZaPres  medyan 1356.5  min 1340.5  max 1359.8  yayilma 1.42%
Accelerate medyan 1392.7  min 1368.6  max 1400.6  yayilma 2.30%
MpGEMM     medyan 1407.2  min 1369.7  max 1415.7  yayilma 3.27%
F2/R0 = 1.439x
F2-ZaPres/R0 = 1.434x
Accelerate/R0 = 1.473x
MpGEMM/R0 = 1.488x
F2-ZaPres/F2 = 0.9967x
