run,impl,reps,ms,GFLOPs,checksum
0,R0,15,22.611,1021.0,-158.518131
0,F2,15,17.105,1349.6,-158.518131
1,F2,15,17.056,1353.5,-158.518131
1,R0,15,22.471,1027.3,-158.518131
2,R0,15,22.771,1013.8,-158.518131
2,F2,15,17.094,1350.5,-158.518131
3,F2,15,17.050,1354.0,-158.518131
3,R0,15,22.955,1005.7,-158.518131
4,R0,15,22.503,1025.9,-158.518131
4,F2,15,17.054,1353.7,-158.518131
5,F2,15,17.051,1353.9,-158.518131
5,R0,15,22.924,1007.0,-158.518131
6,R0,15,22.554,1023.6,-158.518131
6,F2,15,17.027,1355.8,-158.518131
7,F2,15,17.041,1354.7,-158.518131
7,R0,15,22.268,1036.7,-158.518131
8,R0,15,22.431,1029.2,-158.518131
8,F2,15,17.084,1351.3,-158.518131

R0: medyan 1023.6  min 1005.7  max 1036.7  yayilma 3.03%
F2: medyan 1353.7  min 1349.6  max 1355.8  yayilma 0.46%
F2/R0 = 1.322x
