run,impl,reps,ms,GFLOPs,checksum
0,R0,13,26.249,879.5,-158.518131
0,F2,13,17.261,1337.4,-158.518131
0,F2-ZaPres,13,17.251,1338.2,-158.518131
1,F2,13,17.257,1337.7,-158.518131
1,F2-ZaPres,13,17.245,1338.7,-158.518131
1,R0,13,25.989,888.3,-158.518131
2,F2-ZaPres,13,17.297,1334.6,-158.518131
2,R0,13,25.796,894.9,-158.518131
2,F2,13,17.133,1347.4,-158.518131
3,R0,13,26.312,877.4,-158.518131
3,F2,13,17.077,1351.8,-158.518131
3,F2-ZaPres,13,17.121,1348.4,-158.518131
4,F2,13,17.276,1336.3,-158.518131
4,F2-ZaPres,13,17.274,1336.4,-158.518131
4,R0,13,23.315,990.1,-158.518131
5,F2-ZaPres,13,17.283,1335.8,-158.518131
5,R0,13,25.657,899.8,-158.518131
5,F2,13,17.195,1342.5,-158.518131
6,R0,13,26.048,886.3,-158.518131
6,F2,13,16.980,1359.6,-158.518131
6,F2-ZaPres,13,16.963,1360.9,-158.518131
7,F2,13,17.178,1343.9,-158.518131
7,F2-ZaPres,13,17.207,1341.6,-158.518131
7,R0,13,26.302,877.7,-158.518131
8,F2-ZaPres,13,17.180,1343.7,-158.518131
8,R0,13,25.872,892.3,-158.518131
8,F2,13,17.091,1350.8,-158.518131

R0         medyan 888.3  min 877.4  max 990.1  yayilma 12.70%
F2         medyan 1343.9  min 1336.3  max 1359.6  yayilma 1.73%
F2-ZaPres  medyan 1338.7  min 1334.6  max 1360.9  yayilma 1.96%
F2/R0 = 1.513x
F2-ZaPres/R0 = 1.507x
F2-ZaPres/F2 = 0.9961x
