tag,M,K,N,v3_Mtile,v3_Ntile,v3_Kc,v4a_packA,v4a_packB,v4b_packA,v4b_packB,reps,v3_ms,v3_gf,v3_sp,v4a_ms,v4a_gf,v4a_sp,v4b_ms,v4b_gf,v4b_sp,mp_ms,mp_gf,mp_sp,acc_ms,acc_gf,acc_sp,v4a_v3,v4a_mp,v4a_acc,v4b_v3,v4b_mp,v4b_acc,err_v4a,err_v4b,err_mp,err_acc
square,256,256,256,1024,64,2048,0.016,0.250,0.031,0.250,2000,0.0240,1400.6,13.57,0.0287,1167.1,0.72,0.0294,1140.7,2.27,0.0227,1477.6,1.38,0.0187,1789.6,6.67,0.8333,0.7898,0.6522,0.8145,0.7720,0.6374,0.000e+00,0.000e+00,0.000e+00,0.000e+00
square,512,512,512,1024,64,2048,0.031,1.000,0.062,1.000,1793,0.1617,1660.4,0.00,0.1676,1601.4,0.00,0.1676,1601.8,0.02,0.1488,1803.6,0.39,0.1508,1780.2,0.06,0.9645,0.8879,0.8996,0.9647,0.8881,0.8998,0.000e+00,0.000e+00,0.000e+00,0.000e+00
square,1024,1024,1024,1024,64,2048,0.062,2.000,0.125,4.000,230,1.2343,1739.8,3.13,1.2417,1729.5,0.68,1.2312,1744.3,3.80,1.1371,1888.6,1.29,1.2808,1676.7,0.86,0.9941,0.9158,1.0315,1.0026,0.9236,1.0403,0.000e+00,0.000e+00,0.000e+00,0.000e+00
square,2048,2048,2048,1024,512,2048,0.125,4.000,0.250,8.000,26,10.9744,1565.5,4.33,10.8651,1581.2,2.18,10.0687,1706.3,2.53,11.0994,1547.8,2.82,10.1819,1687.3,3.31,1.0101,1.0216,0.9371,1.0900,1.1024,1.0112,0.000e+00,0.000e+00,0.000e+00,0.000e+00
square,4096,4096,4096,2048,512,4096,0.125,4.000,0.250,8.000,3,84.9715,1617.5,1.88,89.4574,1536.4,0.87,82.9339,1657.2,1.99,95.8122,1434.5,5.10,86.1045,1596.2,0.83,0.9499,1.0710,0.9625,1.0246,1.1553,1.0382,1.091e-06,1.091e-06,0.000e+00,0.000e+00
llm,64,8192,512,1024,64,2048,0.125,4.000,0.250,4.000,453,0.6016,892.4,1.75,0.5997,895.2,1.08,0.6020,891.8,1.59,0.5343,1004.9,2.31,0.5623,954.7,1.42,1.0031,0.8909,0.9377,0.9993,0.8875,0.9341,0.000e+00,0.000e+00,1.692e-06,1.692e-06
llm,64,16384,512,1024,64,2048,0.125,4.000,0.250,4.000,213,1.3359,803.8,0.51,1.2402,865.7,0.44,1.2417,864.7,0.37,1.1841,906.8,0.15,1.2550,855.6,0.15,1.0771,0.9547,1.0119,1.0758,0.9536,1.0106,0.000e+00,0.000e+00,2.403e-06,2.403e-06
llm,64,32768,512,1024,64,2048,0.125,4.000,0.250,4.000,110,2.6825,800.5,1.05,2.4747,867.8,1.20,2.4834,864.8,0.97,2.3490,914.2,0.24,2.4908,862.2,0.29,1.0840,0.9492,1.0065,1.0802,0.9459,1.0030,0.000e+00,0.000e+00,3.317e-06,3.317e-06
llm,128,8192,512,1024,64,2048,0.125,4.000,0.250,4.000,303,1.0042,1069.2,0.63,0.9261,1159.4,0.45,0.9326,1151.3,1.36,0.8655,1240.5,1.71,0.8988,1194.6,0.89,1.0844,0.9346,0.9706,1.0768,0.9281,0.9638,0.000e+00,0.000e+00,1.691e-06,1.691e-06
llm,128,16384,512,1024,64,2048,0.125,4.000,0.250,4.000,141,2.0638,1040.5,0.53,1.8823,1140.9,0.27,1.8830,1140.5,0.37,1.8027,1191.3,1.37,1.8990,1130.8,0.34,1.0964,0.9577,1.0089,1.0960,0.9573,1.0085,0.000e+00,0.000e+00,2.380e-06,2.380e-06
llm,128,32768,512,1024,64,2048,0.125,4.000,0.250,4.000,68,4.1486,1035.3,0.49,3.7647,1140.9,0.39,3.7742,1138.0,0.22,3.5912,1196.0,0.28,3.7608,1142.0,0.63,1.1020,0.9539,0.9990,1.0992,0.9515,0.9965,0.000e+00,0.000e+00,3.331e-06,3.331e-06
ds-id1,64,7168,2112,1024,64,2048,0.125,4.000,0.250,8.000,125,2.0878,928.1,0.52,2.0610,940.2,1.18,2.3183,835.9,2.36,1.7990,1077.1,0.99,1.9235,1007.4,1.02,1.0130,0.8729,0.9333,0.9006,0.7760,0.8297,0.000e+00,0.000e+00,1.555e-06,1.555e-06
ds-id2,64,1536,24576,1024,64,2048,0.094,3.000,0.188,6.000,37,5.4280,890.2,1.18,5.7325,842.9,2.65,5.9840,807.5,6.78,5.6651,852.9,0.92,8.0410,600.9,0.51,0.9469,0.9882,1.4027,0.9071,0.9467,1.3438,0.000e+00,0.000e+00,0.000e+00,0.000e+00
ds-id3,64,512,32768,1024,64,2048,0.031,1.000,0.062,2.000,82,2.4925,861.6,0.67,2.5846,830.9,0.82,2.5513,841.7,0.51,2.4614,872.5,0.84,3.4863,616.0,0.25,0.9644,0.9523,1.3489,0.9770,0.9648,1.3665,0.000e+00,0.000e+00,0.000e+00,0.000e+00
ds-id4,64,16384,7168,1024,64,2048,0.125,4.000,0.250,8.000,12,18.8199,798.7,0.26,17.9787,836.1,1.83,20.1841,744.8,3.16,17.0994,879.1,2.45,23.6276,636.2,1.06,1.0468,0.9511,1.3142,0.9324,0.8472,1.1706,0.000e+00,0.000e+00,2.395e-06,2.395e-06
