tag,M,K,N,Mc,Nc,Kc,onsurface,packA_MiB,packB_MiB,reps,ms,gflops,spread,correct,vs_v4a
square,256,256,256,16,512,4096,yes,0.016,0.250,1506,0.0295,1139.1,21.92,ok,0.9760
square,256,256,256,32,256,4096,yes,0.031,0.250,3394,0.0294,1140.7,1.42,ok,0.9774
square,256,256,256,64,128,4096,yes,0.062,0.125,2850,0.0325,1031.1,0.13,ok,0.8835
square,256,256,256,128,64,4096,yes,0.125,0.062,2577,0.0387,866.9,0.00,ok,0.7427
square,256,256,256,16,1024,2048,yes,0.016,0.250,3380,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,32,512,2048,yes,0.031,0.250,3503,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,64,256,2048,yes,0.062,0.250,3473,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,128,128,2048,yes,0.125,0.125,3204,0.0312,1073.7,0.00,ok,0.9200
square,256,256,256,256,64,2048,yes,0.250,0.062,2580,0.0387,867.8,6.36,ok,0.7435
square,256,256,256,16,2048,1024,yes,0.016,0.250,3389,0.0287,1167.1,0.14,ok,1.0000
square,256,256,256,32,1024,1024,yes,0.031,0.250,3478,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,64,512,1024,yes,0.062,0.250,3068,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,128,256,1024,yes,0.125,0.250,3483,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,256,128,1024,yes,0.250,0.125,3204,0.0312,1073.7,0.00,ok,0.9200
square,256,256,256,512,64,1024,yes,0.250,0.062,2761,0.0362,926.7,0.00,ok,0.7940
square,256,256,256,16,4096,512,yes,0.016,0.250,3483,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,32,2048,512,yes,0.031,0.250,3473,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,64,1024,512,yes,0.062,0.250,3473,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,128,512,512,yes,0.125,0.250,2479,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,256,256,512,yes,0.250,0.250,3473,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,512,128,512,yes,0.250,0.125,3200,0.0312,1073.7,0.00,ok,0.9200
square,256,256,256,1024,64,512,yes,0.250,0.062,2764,0.0362,926.7,0.00,ok,0.7940
square,256,256,256,32,4096,256,yes,0.031,0.250,3483,0.0287,1168.8,0.14,ok,1.0014
square,256,256,256,64,2048,256,yes,0.062,0.250,3478,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,128,1024,256,yes,0.125,0.250,3493,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,256,512,256,yes,0.250,0.250,3478,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,512,256,256,yes,0.250,0.250,3468,0.0287,1167.1,0.00,ok,1.0000
square,256,256,256,1024,128,256,yes,0.250,0.125,3182,0.0312,1073.7,0.00,ok,0.9200
square,256,256,256,2048,64,256,yes,0.250,0.062,2761,0.0362,926.7,0.00,ok,0.7940
square,256,256,256,64,4096,128,yes,0.031,0.125,3112,0.0322,1043.1,0.00,ok,0.8938
square,256,256,256,128,2048,128,yes,0.062,0.125,3108,0.0322,1043.1,0.00,ok,0.8938
square,256,256,256,256,1024,128,yes,0.125,0.125,3104,0.0322,1043.1,0.00,ok,0.8938
square,256,256,256,512,512,128,yes,0.125,0.125,3112,0.0322,1043.1,0.00,ok,0.8938
square,256,256,256,1024,256,128,yes,0.125,0.125,3065,0.0322,1043.1,0.00,ok,0.8938
square,256,256,256,2048,128,128,yes,0.125,0.062,2881,0.0347,965.6,0.00,ok,0.8273
square,256,256,256,4096,64,128,yes,0.125,0.031,2505,0.0347,967.9,0.00,ok,0.8293
square,256,256,256,128,4096,64,yes,0.031,0.062,2564,0.0390,861.3,0.00,ok,0.7380
square,256,256,256,256,2048,64,yes,0.062,0.062,2564,0.0390,861.3,0.00,ok,0.7380
