stage,tag,M,K,N,Mc,Nc,Kc,path,packA_MiB,packB_MiB,a_packs,b_packs,mk_calls,reps,ms,gflops,spread,correct,vs_ref
prescan,square,256,256,256,16,64,8192,native,0.016,0.062,64,4,64,0,0.0339,989.3,16.96,ok,0.6941
prescan,square,256,256,256,16,64,16384,native,0.016,0.062,64,4,64,0,0.0329,1019.4,11.64,ok,0.7152
prescan,square,256,256,256,16,128,8192,native,0.016,0.125,32,4,64,0,0.0282,1187.8,15.93,ok,0.8333
prescan,square,256,256,256,16,128,16384,native,0.016,0.125,32,4,64,0,0.0260,1289.5,0.16,ok,0.9047
prescan,square,256,256,256,16,256,8192,native,0.016,0.250,16,4,64,0,0.0287,1170.5,0.00,ok,0.8212
prescan,square,256,256,256,16,256,16384,native,0.016,0.250,16,4,64,0,0.0237,1415.3,1.41,ok,0.9930
prescan,square,256,256,256,16,512,8192,native,0.016,0.250,16,4,64,0,0.0262,1278.3,18.10,ok,0.8968
prescan,square,256,256,256,16,512,16384,native,0.016,0.250,16,4,64,0,0.0235,1425.3,0.00,ok,1.0000
prescan,square,256,256,256,16,1024,8192,native,0.016,0.250,16,4,64,0,0.0262,1282.3,19.74,ok,0.8997
prescan,square,256,256,256,16,1024,16384,native,0.016,0.250,16,4,64,0,0.0261,1285.9,19.56,ok,0.9022
prescan,square,256,256,256,16,2048,256,native,0.016,0.250,16,4,64,0,0.0287,1169.6,0.15,ok,0.8206
prescan,square,256,256,256,16,2048,512,native,0.016,0.250,16,4,64,0,0.0237,1414.1,1.58,ok,0.9921
prescan,square,256,256,256,16,2048,1024,native,0.016,0.250,16,4,64,0,0.0261,1284.4,19.77,ok,0.9011
prescan,square,256,256,256,16,2048,2048,native,0.016,0.250,16,4,64,0,0.0235,1425.3,0.00,ok,1.0000
prescan,square,256,256,256,16,2048,4096,native,0.016,0.250,16,4,64,0,0.0287,1167.9,0.14,ok,0.8194
prescan,square,256,256,256,16,2048,8192,native,0.016,0.250,16,4,64,0,0.0237,1415.3,1.40,ok,0.9930
prescan,square,256,256,256,16,2048,16384,native,0.016,0.250,16,4,64,0,0.0261,1284.4,19.78,ok,0.9011
prescan,square,256,256,256,16,4096,256,native,0.016,0.250,16,4,64,0,0.0263,1276.2,18.39,ok,0.8954
prescan,square,256,256,256,16,4096,512,native,0.016,0.250,16,4,64,0,0.0287,1167.9,0.14,ok,0.8194
prescan,square,256,256,256,16,4096,1024,native,0.016,0.250,16,4,64,0,0.0238,1410.4,2.11,ok,0.9895
prescan,square,256,256,256,16,4096,2048,native,0.016,0.250,16,4,64,0,0.0287,1168.8,0.00,ok,0.8200
prescan,square,256,256,256,16,4096,4096,native,0.016,0.250,16,4,64,0,0.0237,1415.3,1.40,ok,0.9930
prescan,square,256,256,256,16,4096,8192,native,0.016,0.250,16,4,64,0,0.0261,1284.4,19.78,ok,0.9011
prescan,square,256,256,256,16,4096,16384,native,0.016,0.250,16,4,64,0,0.0261,1284.4,19.78,ok,0.9011
prescan,square,256,256,256,32,64,8192,native,0.031,0.062,64,4,64,0,0.0336,998.5,15.50,ok,0.7006
prescan,square,256,256,256,32,64,16384,native,0.031,0.062,64,4,64,0,0.0361,928.3,0.11,ok,0.6513
prescan,square,256,256,256,32,128,8192,native,0.031,0.125,32,4,64,0,0.0286,1173.0,18.21,ok,0.8230
prescan,square,256,256,256,32,128,16384,native,0.031,0.125,32,4,64,0,0.0288,1166.2,16.94,ok,0.8182
prescan,square,256,256,256,32,256,8192,native,0.031,0.250,16,4,64,0,0.0261,1284.4,19.78,ok,0.9011
prescan,square,256,256,256,32,256,16384,native,0.031,0.250,16,4,64,0,0.0236,1424.1,0.17,ok,0.9991
prescan,square,256,256,256,32,512,8192,native,0.031,0.250,16,4,64,0,0.0287,1169.6,0.15,ok,0.8206
prescan,square,256,256,256,32,512,16384,native,0.031,0.250,16,4,64,0,0.0237,1416.5,1.58,ok,0.9938
prescan,square,256,256,256,32,1024,8192,native,0.031,0.250,16,4,64,0,0.0261,1284.4,19.78,ok,0.9011
prescan,square,256,256,256,32,1024,16384,native,0.031,0.250,16,4,64,0,0.0264,1273.2,17.86,ok,0.8933
prescan,square,256,256,256,32,2048,256,native,0.031,0.250,16,4,64,0,0.0287,1168.0,0.15,ok,0.8194
prescan,square,256,256,256,32,2048,512,native,0.031,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,32,2048,1024,native,0.031,0.250,16,4,64,0,0.0287,1168.0,0.15,ok,0.8194
prescan,square,256,256,256,32,2048,2048,native,0.031,0.250,16,4,64,0,0.0287,1167.9,0.14,ok,0.8194
prescan,square,256,256,256,32,2048,4096,native,0.031,0.250,16,4,64,0,0.0263,1275.2,18.53,ok,0.8947
prescan,square,256,256,256,32,2048,8192,native,0.031,0.250,16,4,64,0,0.0261,1287.5,19.35,ok,0.9033
prescan,square,256,256,256,32,2048,16384,native,0.031,0.250,16,4,64,0,0.0236,1424.0,0.18,ok,0.9991
prescan,square,256,256,256,32,4096,256,native,0.031,0.250,16,4,64,0,0.0261,1284.4,19.78,ok,0.9011
prescan,square,256,256,256,32,4096,512,native,0.031,0.250,16,4,64,0,0.0243,1383.7,5.84,ok,0.9708
prescan,square,256,256,256,32,4096,1024,native,0.031,0.250,16,4,64,0,0.0261,1284.4,19.78,ok,0.9011
prescan,square,256,256,256,32,4096,2048,native,0.031,0.250,16,4,64,0,0.0261,1283.4,19.60,ok,0.9004
prescan,square,256,256,256,32,4096,4096,native,0.031,0.250,16,4,64,0,0.0261,1285.4,19.63,ok,0.9018
prescan,square,256,256,256,32,4096,8192,native,0.031,0.250,16,4,64,0,0.0261,1285.4,19.63,ok,0.9018
prescan,square,256,256,256,32,4096,16384,native,0.031,0.250,16,4,64,0,0.0260,1288.5,19.20,ok,0.9040
prescan,square,256,256,256,64,64,8192,native,0.062,0.062,64,4,64,0,0.0362,926.7,0.00,ok,0.6502
prescan,square,256,256,256,64,64,16384,native,0.062,0.062,64,4,64,0,0.0362,926.2,0.11,ok,0.6498
prescan,square,256,256,256,64,128,8192,native,0.062,0.125,32,4,64,0,0.0312,1073.7,0.00,ok,0.7533
prescan,square,256,256,256,64,128,16384,native,0.062,0.125,32,4,64,0,0.0312,1073.7,0.00,ok,0.7533
prescan,square,256,256,256,64,256,8192,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,256,16384,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,512,8192,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,512,16384,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,1024,8192,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,1024,16384,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,2048,256,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,2048,512,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,2048,1024,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,2048,2048,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,2048,4096,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,2048,8192,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,2048,16384,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,4096,256,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,4096,512,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,4096,1024,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,4096,2048,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,4096,4096,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,4096,8192,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,64,4096,16384,native,0.062,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,64,8192,native,0.125,0.062,64,4,64,0,0.0362,926.7,0.00,ok,0.6502
prescan,square,256,256,256,128,64,16384,native,0.125,0.062,64,4,64,0,0.0362,926.7,0.00,ok,0.6502
prescan,square,256,256,256,128,128,8192,native,0.125,0.125,32,4,64,0,0.0312,1073.7,0.00,ok,0.7533
prescan,square,256,256,256,128,128,16384,native,0.125,0.125,32,4,64,0,0.0312,1073.7,0.00,ok,0.7533
prescan,square,256,256,256,128,256,8192,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,256,16384,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,512,8192,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,512,16384,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,1024,8192,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,1024,16384,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,2048,256,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,2048,512,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,2048,1024,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,2048,2048,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,2048,4096,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,2048,8192,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,2048,16384,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,4096,256,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,4096,512,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,4096,1024,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,4096,2048,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,4096,4096,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,4096,8192,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,128,4096,16384,native,0.125,0.250,16,4,64,0,0.0287,1167.1,0.00,ok,0.8188
prescan,square,256,256,256,16,256,2048,native,0.016,0.250,16,4,64,0,0.0235,1425.3,0.00,ok,1.0000
final,square,256,256,256,16,256,2048,native,0.016,0.250,16,4,64,5000,0.0287,1167.1,18.11,ok,1.0000
