tag,M,K,N,v4_path,v3_Mtile,v3_Ntile,v3_Kc,packA_MiB,packB_MiB,reps,v3_ms,v3_gflops,v3_spread,v4_ms,v4_gflops,v4_spread,acc_ms,acc_gflops,acc_spread,mp_ms,mp_gflops,mp_spread,v4_over_v3,v4_over_mp,v4_over_acc,relerr_v4,relerr_acc,relerr_mp
square,256,256,256,native,1024,64,2048,0.02,0.25,2000,0.0238,1410.4,18.91,0.0287,1167.1,0.15,0.0188,1785.6,0.44,0.0225,1488.5,0.65,0.8275,0.7841,0.6536,0,0,0
square,512,512,512,native,1024,64,2048,0.03,1.00,1823,0.1613,1664.3,0.05,0.1675,1602.2,0.07,0.1510,1778.2,0.11,0.1485,1807.6,0.45,0.9627,0.8863,0.9010,0,0,0
square,1024,1024,1024,native,1024,64,2048,0.06,4.00,229,1.2253,1752.6,1.23,1.2165,1765.2,0.98,1.2735,1686.2,0.15,1.1350,1892.0,0.39,1.0072,0.9330,1.0469,0,0,0
square,2048,2048,2048,native,1024,512,2048,0.12,16.00,15,10.8520,1583.1,3.66,20.7817,826.7,8.99,10.3368,1662.0,1.18,11.1199,1545.0,0.52,0.5222,0.5351,0.4974,0,0,0
square,4096,4096,4096,native,2048,512,4096,0.12,32.00,3,84.3166,1630.0,1.37,245.1995,560.5,1.16,88.4120,1554.5,1.38,92.2950,1489.1,0.69,0.3439,0.3764,0.3606,1.091e-06,0,0
llm,64,8192,512,native,1024,64,2048,0.12,4.00,475,0.5980,897.8,1.28,0.5930,905.3,2.16,0.5589,960.6,1.71,0.5312,1010.7,5.09,1.0084,0.8958,0.9425,0,1.692e-06,1.692e-06
llm,64,16384,512,native,1024,64,2048,0.12,4.00,220,1.3516,794.4,1.00,1.2445,862.8,0.24,1.2529,857.0,0.40,1.1801,909.8,0.16,1.0861,0.9483,1.0067,0,2.403e-06,2.403e-06
llm,64,32768,512,native,1024,64,2048,0.12,4.00,110,2.6899,798.4,0.42,2.4864,863.7,0.32,2.5025,858.1,0.27,2.3519,913.1,0.35,1.0818,0.9459,1.0065,0,3.317e-06,3.317e-06
llm,128,8192,512,native,1024,64,2048,0.12,4.00,309,1.0072,1066.1,1.36,0.9285,1156.4,0.76,0.9021,1190.2,0.37,0.8673,1238.0,0.25,1.0847,0.9341,0.9716,0,1.691e-06,1.691e-06
llm,128,16384,512,native,1024,64,2048,0.12,4.00,136,2.1249,1010.6,1.06,1.8921,1134.9,0.42,1.8881,1137.4,0.38,1.8006,1192.6,0.11,1.1230,0.9516,0.9978,0,2.38e-06,2.38e-06
llm,128,32768,512,native,1024,64,2048,0.12,4.00,71,4.2212,1017.5,0.26,3.7761,1137.4,0.24,3.7917,1132.7,0.46,3.5955,1194.5,0.37,1.1179,0.9522,1.0041,0,3.331e-06,3.331e-06
ds-id1,64,7168,2112,native,1024,64,2048,0.12,16.50,74,2.0437,948.2,0.51,4.0521,478.2,4.01,1.9300,1004.0,1.35,1.8126,1069.1,1.19,0.5044,0.4473,0.4763,0,1.555e-06,1.555e-06
ds-id2,64,1536,24576,native,1024,64,2048,0.09,144.00,24,5.4303,889.8,1.25,12.2964,392.9,0.60,8.0320,601.6,0.27,5.6769,851.1,0.74,0.4416,0.4617,0.6532,0,0,0
ds-id3,64,512,32768,native,1024,64,2048,0.03,64.00,51,2.5012,858.6,2.88,5.7471,373.7,5.91,3.5472,605.4,2.34,2.4695,869.6,4.30,0.4352,0.4297,0.6172,0,0,0
ds-id4,64,16384,7168,native,1024,64,2048,0.12,56.00,7,18.9957,791.4,2.02,38.5695,389.7,5.38,23.8039,631.5,2.93,17.2350,872.2,6.84,0.4925,0.4469,0.6172,0,2.395e-06,2.395e-06
ds-id5,64,7168,4096,native,1024,64,2048,0.12,32.00,30,5.0436,745.1,0.25,9.4053,399.6,0.99,6.3071,595.8,0.76,3.9528,950.7,2.57,0.5363,0.4203,0.6706,0,1.564e-06,1.564e-06
ds-id6,64,2048,7168,native,1024,64,2048,0.12,56.00,59,2.3155,811.5,1.15,4.7575,395.0,0.76,2.8467,660.1,0.50,2.0880,899.9,3.26,0.4867,0.4389,0.5983,0,0,0
ds-id7,128,7168,2112,native,1024,64,2048,0.12,16.50,49,3.3171,1168.4,0.98,6.7888,570.9,1.53,3.0083,1288.3,0.16,2.8789,1346.2,1.13,0.4886,0.4241,0.4431,0,1.56e-06,1.56e-06
ds-id8,128,1536,24576,native,1024,64,2048,0.09,144.00,14,8.1745,1182.2,2.11,20.7143,466.5,1.02,10.8555,890.2,2.17,8.7810,1100.5,2.31,0.3946,0.4239,0.5241,0,0,0
ds-id9,128,512,32768,native,1024,64,2048,0.03,64.00,30,3.6790,1167.4,1.18,9.3234,460.7,1.96,4.9367,870.0,1.81,3.7088,1158.1,1.46,0.3946,0.3978,0.5295,0,0,0
ds-id10,128,16384,7168,native,1024,64,2048,0.12,56.00,4,26.1027,1151.8,2.25,64.9774,462.7,1.77,36.6115,821.2,4.18,26.8720,1118.8,1.61,0.4017,0.4136,0.5634,0,2.391e-06,2.391e-06
ds-id11,128,7168,4096,native,1024,64,2048,0.12,32.00,19,6.4507,1165.2,0.81,15.7417,477.5,1.45,8.4670,887.7,2.94,6.1084,1230.5,2.84,0.4098,0.3880,0.5379,0,1.558e-06,1.558e-06
ds-id12,128,2048,7168,native,1024,64,2048,0.12,56.00,37,3.2889,1142.7,5.63,8.0223,468.5,0.36,3.8600,973.6,0.28,3.2174,1168.1,0.22,0.4100,0.4011,0.4812,0,0,0
ds-id13,4096,7168,2112,native,1024,64,2048,0.12,16.50,3,80.5611,1539.4,2.75,163.4091,758.9,1.21,81.2058,1527.2,3.76,83.7566,1480.7,3.94,0.4930,0.5126,0.4969,0,1.557e-06,1.557e-06
