tag,M,K,N,v4c_profile,Mc,Nc,Kc,v4c_path,packA_MiB,packB_MiB,reps,acc_ms,acc_gf,acc_sp,v4c_ms,v4c_gf,v4c_sp,mp_ms,mp_gf,mp_sp,v4c_over_acc,v4c_over_mp,err_v4c,err_acc,err_mp
square,256,256,256,v4a,16,512,2048,native,0.016,0.250,11267,0.0187,1789.6,0.22,0.0288,1165.4,0.00,0.0227,1480.4,0.19,0.6512,0.7873,0.000e+00,0.000e+00,0.000e+00
square,512,512,512,v4a,16,512,2048,native,0.031,1.000,3084,0.1509,1778.7,0.11,0.1675,1602.2,0.03,0.1488,1803.6,0.36,0.9008,0.8883,0.000e+00,0.000e+00,0.000e+00
square,1024,1024,1024,v4a,16,512,2048,native,0.062,2.000,384,1.2807,1676.8,0.96,1.2555,1710.5,1.77,1.1423,1879.9,0.66,1.0201,0.9099,0.000e+00,0.000e+00,0.000e+00
square,2048,2048,2048,v4b,32,1024,2048,native,0.250,8.000,44,10.1242,1696.9,3.45,10.2262,1680.0,3.03,11.0800,1550.5,2.35,0.9900,1.0835,0.000e+00,0.000e+00,0.000e+00
square,4096,4096,4096,v4b,32,1024,2048,native,0.250,8.000,5,85.7231,1603.3,1.83,81.9156,1677.8,0.99,92.7469,1481.9,6.43,1.0465,1.1322,1.091e-06,0.000e+00,0.000e+00
llm,64,8192,512,v4a,16,512,2048,native,0.125,4.000,776,0.5526,971.6,0.52,0.5931,905.2,0.20,0.5115,1049.5,2.25,0.9316,0.8625,0.000e+00,1.692e-06,1.692e-06
llm,64,16384,512,v4a,16,512,2048,native,0.125,4.000,392,1.2496,859.3,2.38,1.2300,873.0,3.38,1.1798,910.1,1.77,1.0160,0.9592,0.000e+00,2.403e-06,2.403e-06
llm,64,32768,512,v4a,16,512,2048,native,0.125,4.000,178,2.5708,835.3,1.05,2.5286,849.3,0.66,2.4035,893.5,0.97,1.0167,0.9505,0.000e+00,3.317e-06,3.317e-06
llm,128,8192,512,v4a,16,512,2048,native,0.125,4.000,476,0.9224,1164.1,1.21,0.9361,1147.1,2.80,0.8853,1212.9,3.79,0.9854,0.9457,0.000e+00,1.691e-06,1.691e-06
llm,128,16384,512,v4a,16,512,2048,native,0.125,4.000,251,1.8990,1130.8,1.56,1.8882,1137.3,0.27,1.7933,1197.5,0.09,1.0057,0.9497,0.000e+00,2.380e-06,2.380e-06
llm,128,32768,512,v4a,16,512,2048,native,0.125,4.000,129,3.7767,1137.2,1.51,3.7629,1141.4,0.17,3.5850,1198.0,0.09,1.0037,0.9527,0.000e+00,3.331e-06,3.331e-06
ds-id1,64,7168,2112,v4a,16,512,2048,native,0.125,4.000,231,1.9047,1017.4,0.21,2.1043,920.8,1.03,1.7734,1092.7,0.12,0.9051,0.8427,0.000e+00,1.555e-06,1.555e-06
